% 1. Title: Dataset Sintético para la Predicción de Compra de Boletas (10000 instancias) con Descuento e Historial Categórico
% 2. Sources:
%    (a) Original Owners: Generado sintéticamente para fines de demostración
%    (b) Donor of Database: Gemini AI
%    (c) Date Received: 7 de mayo de 2025
% 3. Past Usage:
%    Este dataset sintético se genera para demostrar la estructura de datos para la predicción de compra de boletas, incluyendo uso de descuento previo e historial de compras categórico. Se puede utilizar para entrenar modelos de clasificación.
% 4. Relevant Information:
%    Este dataset contiene información sobre usuarios y sus interacciones con una plataforma de venta de boletas. El objetivo es predecir si un usuario específico realizará una compra de boleta (variable 'Compra_Boleta'). Los atributos incluyen información demográfica, comportamiento en la plataforma, preferencias y el uso de descuentos previos.
% 5. Number of Instances: 10000
% 6. Number of Attributes: 10 plus class
% 7. For Each Attribute:
%    1. ID_Usuario: Identificador único del usuario (numérico)
%    2. Edad: Edad del usuario en años (numérico)
%    3. Genero: Género del usuario (categórico: Masculino, Femenino, Otro)
%    4. Historial_Compras: Nivel de historial de compras (categórico: Bajo, Medio, Alto)
%    5. Frecuencia_Visitas_Sitio: Visitas al sitio en el último mes (numérico)
%    6. Tiempo_Navegacion_Promedio: Tiempo promedio de navegación en minutos (numérico)
%    7. Interes_Categoria: Categoría de eventos de interés (categórico)
%    8. Dispositivo_Acceso: Dispositivo principal de acceso (categórico)
%    9. Recibio_Notificacion: Indica si recibió notificación reciente (numérico: 0=No, 1=Sí)
%    10. Uso_Descuento_Previo: Indica si usó un descuento en compras previas (numérico: 0=No, 1=Sí)
%    11. Compra_Boleta: Variable de clase (numérico: 0=No compró, 1=Compró)
% 8. Missing Attribute Values: None
% 9. Class Distribution: (aproximado)
%    Clase Valor   Número de Instancias (aproximado)
%    0             ~6500
%    1             ~3500
% 10. Brief statistical analysis: (aproximado)
%     Attribute number:             Mean:    Standard Deviation:
%     2. Edad:                     ~38       ~14
%     5. Frecuencia_Visitas_Sitio: ~4.5      ~5
%     6. Tiempo_Navegacion_Promedio: ~12      ~8
%     10. Uso_Descuento_Previo:    ~0.3 (aproximado)
@relation compra_boleta_prediccion_con_descuento
@attribute 'ID_Usuario' numeric
@attribute 'Edad' numeric
@attribute 'Genero' {Masculino,Femenino,Otro}
@attribute 'Historial_Compras' {Bajo,Medio,Alto}
@attribute 'Frecuencia_Visitas_Sitio' numeric
@attribute 'Tiempo_Navegacion_Promedio' numeric
@attribute 'Interes_Categoria' {Conciertos,Deportes,Teatro,Cine,Otro}
@attribute 'Dispositivo_Acceso' {Desktop,Mobile,Tablet}
@attribute 'Recibio_Notificacion' {0,1}
@attribute 'Uso_Descuento_Previo' {0,1}
@attribute 'Compra_Boleta' {0,1}
@data
1,35,Femenino,Bajo,2,0.6,Deportes,Tablet,1,0,1
2,39,Masculino,Bajo,1,0.3,Teatro,Mobile,1,0,1
3,44,Otro,Bajo,5,6.6,Teatro,Tablet,0,1,1
4,39,Masculino,Medio,1,13.1,Conciertos,Mobile,0,1,1
5,33,Otro,Medio,2,0.2,Conciertos,Mobile,0,1,0
6,26,Masculino,Bajo,5,5.3,Conciertos,Mobile,0,1,0
7,48,Otro,Medio,0,0.3,Cine,Desktop,0,0,0
8,49,Otro,Bajo,1,2.0,Teatro,Desktop,1,1,0
9,43,Masculino,Medio,1,1.7,Teatro,Desktop,0,0,0
10,57,Otro,Medio,3,3.6,Conciertos,Tablet,1,0,0
11,18,Otro,Bajo,6,46.6,Cine,Mobile,0,0,1
12,36,Masculino,Bajo,1,2.5,Deportes,Mobile,0,0,0
13,49,Otro,Medio,0,13.3,Otro,Mobile,0,0,0
14,23,Otro,Medio,3,0.6,Teatro,Mobile,0,1,0
15,32,Femenino,Medio,2,0.6,Deportes,Tablet,0,0,0
16,44,Otro,Medio,0,2.8,Teatro,Tablet,0,0,0
17,38,Femenino,Bajo,3,1.2,Conciertos,Mobile,0,1,0
18,28,Femenino,Bajo,3,2.5,Deportes,Mobile,0,1,0
19,22,Masculino,Bajo,5,9.4,Deportes,Mobile,0,1,1
20,30,Otro,Bajo,2,10.1,Teatro,Desktop,1,1,0
21,58,Femenino,Medio,0,5.1,Conciertos,Desktop,0,1,0
22,20,Femenino,Bajo,6,3.1,Conciertos,Desktop,0,0,0
23,18,Masculino,Bajo,10,1.8,Otro,Tablet,0,0,0
24,31,Masculino,Bajo,2,2.7,Otro,Desktop,0,1,1
25,30,Masculino,Bajo,3,1.6,Otro,Desktop,0,0,0
26,29,Otro,Bajo,0,3.1,Teatro,Mobile,1,1,0
27,61,Masculino,Medio,1,3.9,Teatro,Desktop,0,1,0
28,38,Femenino,Medio,1,12.0,Conciertos,Mobile,0,0,0
29,40,Masculino,Medio,4,5.0,Teatro,Mobile,0,0,0
30,46,Otro,Medio,10,3.6,Conciertos,Desktop,0,1,1
31,36,Otro,Medio,3,1.1,Teatro,Mobile,1,0,0
32,35,Otro,Bajo,3,8.0,Teatro,Mobile,0,1,0
33,28,Femenino,Bajo,5,3.1,Teatro,Mobile,0,1,0
34,31,Otro,Bajo,2,4.9,Deportes,Mobile,1,1,0
35,18,Otro,Bajo,5,6.9,Deportes,Mobile,1,1,0
36,18,Masculino,Medio,4,1.4,Conciertos,Mobile,0,0,0
37,37,Otro,Medio,7,4.7,Deportes,Mobile,0,0,0
38,34,Otro,Bajo,2,3.0,Cine,Mobile,1,0,0
39,60,Femenino,Medio,1,5.1,Deportes,Mobile,1,0,1
40,57,Masculino,Medio,2,3.8,Otro,Desktop,1,1,1
41,58,Otro,Medio,1,0.1,Otro,Desktop,1,1,0
42,49,Masculino,Medio,3,0.5,Otro,Mobile,1,1,0
43,47,Otro,Medio,1,0.2,Otro,Desktop,0,1,0
44,34,Femenino,Medio,3,1.0,Teatro,Mobile,0,0,0
45,39,Otro,Medio,2,8.4,Otro,Mobile,0,1,0
46,34,Masculino,Medio,2,8.1,Deportes,Mobile,0,0,1
47,27,Masculino,Bajo,4,1.0,Conciertos,Desktop,0,1,0
48,45,Femenino,Medio,1,1.7,Deportes,Tablet,1,0,0
49,46,Masculino,Medio,6,0.0,Cine,Tablet,0,0,0
50,24,Otro,Bajo,4,10.2,Otro,Mobile,1,0,0
51,28,Otro,Medio,4,14.8,Otro,Tablet,1,0,0
52,63,Femenino,Medio,0,3.3,Otro,Desktop,0,0,0
53,42,Masculino,Medio,0,4.1,Otro,Mobile,1,1,0
54,42,Otro,Medio,3,0.2,Otro,Tablet,1,1,0
55,40,Femenino,Bajo,5,6.2,Conciertos,Mobile,0,1,1
56,20,Femenino,Bajo,1,5.5,Deportes,Mobile,0,0,0
57,25,Otro,Bajo,2,4.2,Conciertos,Desktop,0,0,0
58,40,Femenino,Medio,3,0.5,Deportes,Mobile,0,1,0
59,18,Otro,Bajo,1,8.1,Teatro,Mobile,0,1,0
60,39,Masculino,Medio,1,2.1,Cine,Mobile,0,0,0
61,39,Otro,Bajo,1,11.0,Cine,Mobile,0,1,0
62,22,Femenino,Bajo,3,4.7,Otro,Tablet,0,1,0
63,21,Masculino,Medio,5,6.9,Otro,Mobile,0,1,0
64,56,Masculino,Medio,4,3.1,Cine,Mobile,0,0,1
65,51,Otro,Bajo,1,3.6,Otro,Desktop,1,0,0
66,28,Femenino,Bajo,2,1.1,Conciertos,Tablet,0,0,0
67,48,Femenino,Medio,1,5.2,Teatro,Tablet,1,0,0
68,49,Masculino,Medio,0,5.6,Conciertos,Tablet,0,0,0
69,46,Femenino,Alto,0,1.6,Deportes,Mobile,0,0,0
70,35,Otro,Medio,3,3.5,Conciertos,Desktop,0,0,0
71,18,Otro,Bajo,6,4.6,Teatro,Desktop,1,1,0
72,29,Otro,Bajo,8,0.9,Teatro,Mobile,0,1,1
73,33,Otro,Bajo,2,2.3,Teatro,Mobile,1,1,0
74,42,Femenino,Bajo,1,5.4,Teatro,Mobile,0,1,0
75,46,Femenino,Bajo,2,6.2,Cine,Mobile,0,1,0
76,18,Otro,Bajo,0,11.1,Conciertos,Mobile,0,1,0
77,33,Masculino,Medio,2,1.3,Deportes,Desktop,0,0,0
